row_id,deal_id,loc_info_id,customer_id,order_priority
1,1,1,AT-735,High
2,2,2,JH-15985,Medium
3,3,3,TB-11280,Medium
4,4,2,JH-15985,Medium
5,5,4,EM-14140,High
6,6,2,JH-15985,Medium
7,7,5,MM-7260,Medium
8,8,6,DD-13570,Medium
9,9,7,KL-16645,Low
10,10,8,NG-8355,High
11,11,9,SV-20785,Medium
12,12,10,JG-5115,Medium
13,13,11,JO-5280,Medium
14,14,11,JO-5280,Medium
15,15,7,KL-16645,Low
16,16,12,LW-6990,High
17,17,11,JO-5280,Medium
18,18,13,LB-16735,High
19,19,7,KL-16645,Low
20,20,13,LB-16735,High
21,21,13,LB-16735,High
22,22,7,KL-16645,Low
23,23,14,CM-12235,Medium
24,24,15,KN-16450,Critical
25,25,12,LW-6990,High
26,26,15,KN-16450,Critical
27,27,16,DP-13390,Medium
28,28,17,GT-14635,Medium
29,29,18,RA-19915,Medium
30,30,19,AW-10930,Medium
31,31,20,BD-11500,Medium
32,32,18,RA-19915,Medium
33,33,17,GT-14635,Medium
34,34,21,BT-11305,Medium
35,35,19,AW-10930,Medium
36,36,22,MH-17785,High
37,37,23,JC-5340,Medium
38,38,24,DP-13000,High
39,39,22,MH-17785,High
40,40,23,JC-5340,Medium
41,41,25,BT-11305,Medium
42,42,26,AP-10915,Medium
43,43,19,AW-10930,Medium
44,44,27,PO-19195,High
45,45,27,PO-19195,High
46,46,28,JH-15430,Medium
47,47,29,MG-17890,Medium
48,48,29,MG-17890,Medium
49,49,27,PO-19195,High
50,50,30,SW-20455,Low
51,51,31,MB-18085,Low
52,52,32,BH-11710,High
53,53,33,RD-19660,Medium
54,54,34,KM-16660,High
55,55,33,RD-19660,Medium
56,56,35,SH-20395,High
57,57,32,BH-11710,High
58,58,36,GK-4620,Medium
59,59,37,MS-17365,High
60,60,38,HM-4860,High
61,61,39,ME-17320,High
62,62,40,DP-13105,Medium
63,63,39,ME-17320,High
64,64,41,DD-13570,High
65,65,39,ME-17320,High
66,66,42,AC-420,Medium
67,67,37,MS-17365,High
68,68,37,MS-17365,High
69,69,43,SV-10785,High
70,70,44,AB-10060,Medium
71,71,37,MS-17365,High
72,72,40,DP-13105,Medium
73,73,38,HM-4860,High
74,74,39,ME-17320,High
75,75,45,JS-16030,Medium
76,76,41,DD-13570,High
77,77,46,LS-17230,High
78,78,39,ME-17320,High
79,79,39,ME-17320,High
80,80,43,SV-10785,High
81,81,39,ME-17320,High
82,82,47,JO-15145,Critical
83,83,40,DP-13105,Medium
84,84,48,DP-13000,Medium
85,85,49,CM-12385,Medium
86,86,50,VS-21820,Medium
87,87,51,NF-18595,Medium
88,88,48,DP-13000,Medium
89,89,52,HZ-4950,High
90,90,50,VS-21820,Medium
91,91,53,JE-5715,High
92,92,49,CM-12385,Medium
93,93,54,EB-13705,High
94,94,55,AG-10270,Medium
95,95,55,AG-10270,Medium
96,96,56,SC-20050,High
97,97,56,SC-20050,High
98,98,56,SC-20050,High
99,99,55,AG-10270,Medium
100,100,55,AG-10270,Medium
101,101,57,ER-3855,Critical
102,102,58,DL-12865,Medium
103,103,58,DL-12865,Medium
104,104,59,PO-18865,High
105,105,60,PM-18940,Medium
106,106,61,TH-11235,Medium
107,107,62,RS-9420,Medium
108,108,57,ER-3855,Critical
109,109,57,ER-3855,Critical
110,110,63,MS-17830,Medium
111,111,57,ER-3855,Critical
112,112,59,PO-18865,High
113,113,63,MS-17830,Medium
114,114,57,ER-3855,Critical
115,115,57,ER-3855,Critical
116,116,60,PM-18940,Medium
117,117,64,BD-11605,Medium
118,118,65,GG-14650,Medium
119,119,58,DL-12865,Medium
120,120,66,SJ-10125,High
121,121,57,ER-3855,Critical
122,122,67,JR-15700,Medium
123,123,57,ER-3855,Critical
124,124,57,ER-3855,Critical
125,125,57,ER-3855,Critical
126,126,68,MB-18085,High
127,127,69,DF-13135,Medium
128,128,70,AJ-10780,Medium
129,129,69,DF-13135,Medium
130,130,71,TN-21040,Medium
131,131,72,DV-13465,High
132,132,73,SC-20680,Medium
133,133,74,DD-13570,High
134,134,68,MB-18085,High
135,135,69,DF-13135,Medium
136,136,69,DF-13135,Medium
137,137,70,AJ-10780,Medium
138,138,75,PF-19165,Medium
139,139,76,RC-19825,Medium
140,140,75,PF-19165,Medium
141,141,76,RC-19825,Medium
142,142,77,CS-2460,High
143,143,78,EM-13960,Medium
144,144,73,SC-20680,Medium
145,145,75,PF-19165,Medium
146,146,74,DD-13570,High
147,147,75,PF-19165,Medium
148,148,79,SC-10440,Medium
149,149,80,RP-19855,Medium
150,150,79,SC-10440,Medium
151,151,79,SC-10440,Medium
152,152,80,RP-19855,Medium
153,153,81,TS-21205,Medium
154,154,80,RP-19855,Medium
155,155,79,SC-10440,Medium
156,156,82,SV-20365,Critical
157,157,79,SC-10440,Medium
158,158,79,SC-10440,Medium
